Path_category,Url,Count,Content / Page Focus
BRAC(12),,,
/,https://www.brac.net/,1,"Homepage introducing BRAC's mission as an international development organisation founded in 1972; emphasises community-led, holistic approach and long-term impact at scale, focusing on women and children and global leadership【971404439880748†L50-L64】."
/who-we-are,https://www.brac.net/who-we-are,6,"Explains BRAC's history, mission and identity; emphasises holistic, community-led approach and global leadership; subpages cover annual reports, global board, governing body, executive body, and financial statements【971404439880748†L50-L64】【971404439880748†L20-L25】."
/what-we-do,https://www.brac.net/what-we-do,15,"Describes BRAC's programme areas across social development, social enterprises, investments, and university; lists interventions such as ultra-poor graduation, integrated development, microfinance, health, climate change, gender justice, skills development, migration, education and youth platform【928819732760436†L48-L97】."
/where-we-work,https://www.brac.net/where-we-work,11,"Lists countries where BRAC operates—Bangladesh plus Afghanistan, Ghana, Kenya, Liberia, Myanmar, Philippines, Rwanda, Sierra Leone, South Sudan, Tanzania and Uganda—and invites visitors to join the global BRAC family【357393240742517†L52-L73】."
/brac-enterprises,https://www.brac.net/brac-enterprises,14,"Social enterprise section profiling BRAC's enterprises (e.g., BRAC Nursery, Seed and Agro Enterprise); provides narratives on how enterprises supply quality seeds, promote ecological balance and support agriculture and livelihoods【512636585346757†L51-L67】."
/annual-reports-and-publications,https://www.brac.net/annual-reports-and-publications,100,Repository of annual reports and publications; offers downloadable BRAC annual reports and audited financial statements for multiple countries and years【159681094724632†L49-L73】.
/brac-in-the-media,https://www.brac.net/brac-in-the-media,61,Collection of external media articles and interviews featuring BRAC's work; includes stories such as legal aid study in Bangladesh and highlights from health programmes【17330919460238†L51-L67】.
/latest-news,https://www.brac.net/latest-news,888,"News hub hosting BRAC's latest updates, press releases and stories; includes articles on World Diabetes Day and solar power installations; contains 888 news items【262586223662595†L51-L72】."
/contact-us,https://www.brac.net/contact-us,1,"Contact page listing BRAC headquarters and international offices with addresses, telephone numbers and email contacts; includes designated officers and regional contact details【16022497461968†L65-L76】."
/financial-and-external-audit,https://www.brac.net/financial-and-external-audit,1,"Describes BRAC's finance and accounts responsibilities—financial planning, record-keeping, managing donor grants and budgets—and highlights awards for financial transparency; provides links to audit reports【524609694846589†L67-L76】【524609694846589†L79-L84】."
